,tweets,sentiment_analysis
52,3YearsOfKayamkulamKochunni Gross - ₹ 40cr ROI Gross - ₹ 4cr Overseas Gross - ₹ 24 . 5cr Gross - ₹ 68 . 5cr ( 4th b …,negative
53,Finished watching today . accomplishment,neutral
54,I ' just watched episode S06 | E03 of !,neutral
55,", the , late to the party . Was not a police procedural ! : an el …",positive
56,mind …,neutral
57,"I just watched 6x10 "" ‘ Til the End """,neutral
58,"Oh man , that mid - season 3 twist in … I only half - it .",neutral
59,"Good job I will say ended in a good way , most fail horribly in but did it right",negative
60,I Am a Devil of My World imp.... Joker,negative
61,"Finally caught up on all my ( for now ) in my ! Woo - !! To celebrate , I thought I ' d post Chapter 4 of …",positive
62,I ' just watched episode S06 | E06 of !,neutral
63,"I just watched 6x09 "" , """,neutral
64,I ' just watched episode S06 | E03 of !,neutral
65,""" Perfect ."" pleading Our amazing Demon . This is beautiful - Demon face and all . heart eyessmiling imp Fantastic work !! heartheart …",positive
66,I can ' t my poor heart broken heartsobsob I miss so much,negative
67,"I just watched 6x08 "" Save the Devil , Save the World """,positive
68,I ' just watched episode S05 | E15 of !,neutral
69,I ' just watched episode S05 | E14 of !,neutral
70,The last episode of is trash . Why does he have to sacrifice his life and stay in hell ? Rory …,negative
71,"My Brother ' s Keeper , S03 | E14 , de !",neutral
72,but eve is woozydrooling face,neutral
73,"I just watched 6x07 "" My Best Fiend ' s Wedding """,positive
74,Lounging for black small squaresmiling impblack small square …,neutral
75,smiling impsmiling impsmiling imp The scene in the world . I love it red hearttopsmiling imp coolcoolcoolcoolcoolcoolcoolcoolcoolcoolcoolcool …,positive
76,is feeling better . purple heartpurple heart,positive
77,I ' just watched episode S06 | E10 of !,neutral
78,I was wondering why no longer on twitter . Caught this interview on today . I hate he …,negative
79,Here ' s your daily random dose of ! arrow right arrow right Multiverse,neutral
80,"☆""spider The Great open book spider web""☆ infinity HXH1999 HXH2011 …",positive
81,In do they ever touch on why he this accent . his other ?,neutral
82,and should just let keep Rory and just have another baby . Problem woman shrugging medium skin tone,negative
83,"Hell yeah , an absolutely genius writer of just Twitter heart eyesraised handsclapclap",negative
84,I ' just watched episode S02 | E02 of !,neutral
85,": , , , boy",neutral
86,"Ave ! is the natural ruler of , so I decided to add mathematical symbology to my sigil . ringed planetaquarius Is …",positive
87,I to watch Outlander . I to see it but I always ended up seeing,neutral
88,Day 10 : Friend Lucitober2021 “ I thought you could use a friend ” Pencil drawing iconic …,positive
89,"Please hide me , Lord Don ' t you see me '? Don ' t you see me down here '? But the Lord said Go to the …",positive
90,I ' just watched the episode S06 | E10 of !,neutral
91,mor3 All of the above … and hot as hell !blushsee no evilsmiling impfireheartheart eyes LuciferSeason6 heart,negative
92,I ' just watched episode S05 | E08 of !,neutral
93,Such a boring ending to LuciferSeason6,negative
94,I ' just watched episode S06 | E09 of !,neutral
95,WAIT ??? - S06 | E03,neutral
96,"thats me out for the day , go watch some have a good night and ladies",positive
97,"6x04 white check mark LuciferSeason6 ( I really this ). : "" When I into her ... it was ... it was …",neutral
98,Outlander it was one of the few series that occasionally won in against so I was …,positive
99,"God , a powerful , intelligent & ; beautiful angelic being ( the 1st among all and God …",positive
100,I ' just watched the episode S06 | E09 of !,neutral
101,I ' just watched episode S05 | E13 of !,neutral
102,Hello detective,neutral
103,"Also , watched A list / like , How to get away with murder / like , Iron Fist / about it . But all the sh …",negative
104,But yes nothing would ever never ever come close to love love love hearthearthearthugshugshugsheartheartheartheartheart,positive
105,Remember and Repeat !!!!! eyeseyeseyes anxiety,negative
106,The Real Truth about religion,positive
107,When you attend a wedding and felt inspired by ’ s costume designer .,positive
108,I ' just watched episode S05 | E12 of !,neutral
109,Game Ironman style remote ... Designed by ps5 render …,neutral
110,Demonology - The History of hell satan mythology demonology The Demonic History of …,negative
111,…,neutral
112,la scena ? E la ? Posted • that i need to hear …,neutral
113,is so already about to be on season 3,neutral
114,I ' just watched episode S05 | E11 of !,neutral
115,"Bless this collage . heart eyesfiresmiling imp I love how there ' s like one from S2 , S3 , & ; S4 and then they really …",positive
116,The shot is always gorgeous when the subject is heart eyesfire Gorgeous profile ! Lovely GIF . heartsmiling imp LuciferSeason6 …,positive
117,They had been through quite an ordeal . This is so soft . pleadingheart I also love a bit of a disheveled heart eyesfirefire…,positive
118,There goes my heart again . pleadingbroken heartsmiling imp LOVE this parallel . And I that he was the same song on the piano . The …,positive
119,"Been watching « Supernatural » series lately , found this cool shot of and tried to replicate it .…",positive
120,This edit is so sweet !! heart eyes It really beautifully ! I ' t that pic of L & ; C in the picture …,positive
121,"I don ' t know if he ' s more cute here , or sexy , or baby or hotfireheart eyes LuciferSeason6",positive
122,I ' just watched episode S05 | E10 of !,neutral
123,A month since season 6 and WHY IS THERE STILL NO ?! Who do we need to bribe / coax / threaten to get …,negative
124,How I feel since ended,neutral
125,A month post the finale . Still not over how up this season was . broken heart,negative
126,Just because … black heartsmiling impblack heart,neutral
127,Just finished the last episode of and this is the first show in awhile where i ’ m satisfied with the ending …,positive
128,"It ’ s been exactly a month since ended , how we holding up ??? cold sweatpleadingsmiling imp",neutral
129,add & ; audio . For below dark …,neutral
130,Repost with repost jack o lantern orange heart jack o lantern,neutral
131,T O M . E L L I S . How he by …,neutral
132,"I just watched 6x06 "" A Lot Than That """,neutral
133,410 could have easily like 610 . Very easy . ’ t end up in heaven did she ? So …,positive
134,You ' re looking cute heart I would say thank you to entire writer ' s team for rendering such an astonishingly contented e …,positive
135,You ' re looking cute heart I would say thank you to entire writer ' s team for rendering such an astonishingly c …,positive
136,"15 days left ! “ are hard , but that ’ s why they make you strong .” - LuciferSeason6 …",positive
137,"I thought ’ t get any , yet here we are season 6 . roflroflrofl",neutral
138,"I ' m watching 6x07 "" My Best Fiend ' s Wedding """,positive
139,La QUEEN Posted • Throne th - throne throne throne . …,neutral
140,I ' just watched episode S05 | E09 of !,neutral
141,Day 10 : Friend ( s ) - joy LuciferSeason5 Lucitober2021,positive
142,"A Queen , right where she . heart eyes heart eyes",neutral
143,is here,neutral
144,Happy Thanksgiving canadasmiling imppoultry leg ~ ~ ~ LuciferSeason6 …,positive
145,"Summons New Song "" Crucifix ( I Burn For You )""",neutral
146,Our Queen ! Was it possible that it was only a bad dream of and in reality Rory never …,negative
147,I ’ m in my own loop !blushsee no eviljoysmiling impheart And I feel like I haven ’ t watch enough LuciferSeason6 smiling impheartblush,positive
148,"This forget mindless gore and cheap , instead why not explore the question - what if ' t …",negative
149,Nearly there,neutral
150,Open Twitter & ; just to help save the show don ’ t have many on either but still here wait …,positive
151,"I ' m watching 6x06 "" A Lot Than That """,neutral
152,…,neutral
153,I ' just watched episode S05 | E12 of !,neutral
154,I ' just watched episode S05 | E11 of !,neutral
155,"Finished my edit , who to be tagged ? LuciferSeason6",neutral
156,Day 14 fasting 170 - 154 out - Will follow with from here Fried and chicken thigh …,neutral
157,". , your and energy . Martin , all the lesson you ' …",positive
158,S06 | E08,neutral
159,⛧⛧ Invoke Forbidden Power !⛧⛧🡆 PERSONAL COACHING & ; CUSTOM RITUAL ⛧ LEVEL 2 illuminati occult 🡆…,negative
160,It ' s just a fact,neutral
161,"I ' m watching 6x05 "" The Murder of """,negative
162,"Still here , not going anywhere . I may not be on Twitter much , but I will always love the fantastic s …",positive
163,"It ' s so you know what that . Here ' s a joke to start off your week . Share this "" Bad With ""…",negative
164,"Thank YOU for saving , giving us three more fantastic , and an epic finale ! We ’ …",positive
165,My bullet necklace finally !!! Thanks !!!! It ' s beautiful ! …,positive
166,"I just finished last night my 7th round of LuciferSeason6 smiling impheart… starting again now , this time from S5A heartheart",positive
167,mor3 Exactly what you said !!heartheart THANK YOU heart heartpraypraypraykissing heart,positive
168,1x03 . The Would - Be Prince of Darkness . “ 250 . You know what that .” “ Great party .” “ 250 …,positive
169,mor3 heartheartfirefiresmiling imp… a sight for sore !!heartheartheartblush And I always smile seeing him leaving with the leather boots !see no eviljoyjoyjoy…,negative
170,I do continuous heart .,neutral
171,"I ' m watching 6x04 "" Pin the Tail on the Daddy """,neutral
172,I ' just watched the episode S06 | E07 of !,neutral
173,"forever ... my love for the series , the cast , the and my beloved is h …",positive
174,art angel sketch SPOILER,neutral
175,I ' just watched episode S06 | E07 of !,neutral
176,I have watched S06 | E09 of !,neutral
177,"On last two of on S5 , really don ’ t want it to end broken heart It ’ s like , when you enjoy the you …",positive
178,"I ' m watching 6x03 "" Dabba Do Me """,neutral
179,add & ; audio . For below dark …,neutral
180,Incredible LuciferSeason6,neutral
181,I ' just watched episode S06 | E06 of !,neutral
182,When did the adopt the sign of the and become a sports team for and SATANIC,positive
183,two heartshugs hey everyone . How ’ s your feeling today ? It ’ s been a month . Is this help ? …,positive
184,10 / 09 / 2021 - 10 / 10 / 2021 Family heartsmiling imp LuciferSeason6 …,neutral
185,I mean .... at least it ' s one of the special that does not contain a costume ..... I did also got the new car …,positive
186,Drop your on point down We may use your tweet in our next show ! We talk that plus …,negative
187,I ' just watched episode S06 | E05 of !,neutral
188,6x10 i ’ m sorry but i ’ t wait for this show to end . the last three were boring and the final …,negative
189,": spoiler alert , it ' s be epic",positive
190,Good morning dear heart smiling imp kissing heart wish y ' all a fabulous sunny heart …,positive
191,I literally still can ' t get over how LuciferSeason6 Ended ... I …,neutral
192,Something like that blushupside down face,positive
193,Repost from : “ with Star Actor of the hit show ‘…,neutral
194,"will always be a part of my life . It me , gave me hope .. Ill never stop …",positive
195,"Good morning sunny wish you all a great my and everyone ! smiling imp And to make the day even better , here is a …",positive
196,I ' just watched episode S06 | E01 of ! ?,neutral
197,"Please Stream ,…",positive
198,"Please Stream ,…",positive
199,"Please Stream ,…",positive
200,"Please Stream ,…",positive
201,"Please Stream ,…",positive
202,exploding headexploding headexploding head Rory LuciferSeason6,neutral
203,I ' just watched episode S06 | E07 of !,neutral
204,Thanks blue heart I love his little outfit,positive
205,Just finished . What a great show that some of the biggest in theology in a really inter …,positive
206,add & ; audio . For below …,neutral
207,Karaoke you said ? a long time ago when had no …,negative
208,Karaoke you said ? & ; sang too yum,neutral
209,Karaoke you said ?,neutral
210,Karaoke you said ?,neutral
211,10 : Friend . pen again . One of my from one of my . …,positive
212,One Man Dominance ! crown The Biggest Brand of firepinching handsunglasses point right First Day Record - point right Final Record -…,positive
213,laughing …,positive
214,How this a Warner film ? No wonder it ’ s getting more funny joyjoy,positive
215,Good morning kissing heartkissing heart Have a Lovely …,positive
216,"5x12 "" : Naked and Afraid "" ★★★★★★★★☆☆",neutral
217,Good,positive
218,"There ' s no need to send him by his calling forcibly , it to be some reasonable series of …",negative
219,the look that all have whenever they let their drive them around town .…,neutral
220,I ' just watched episode S01 | E13 of !,neutral
221,"Why in THE WORLD is being such in love , come ON . Please get together already .",positive
222,I ' just watched episode S06 | E05 of !,neutral
223,Music / – Crucifix ( I Burn For You ) ( OFFICIAL VIDEO )…,neutral
224,thanks for your interview over at ! Great question curation pick . ( Especially the one about social media ),positive
225,How come Dan can sit in the patrol car but can ’ t pick up a phone ? S6E6,neutral
226,"I ' m watching 5x12 "" : Naked and Afraid """,neutral
227,", was a good series .",positive
228,¹ Too late for father ' s day ? ...,neutral
229,THE opportunity of Season Six . Happy One Month . For my dear friend . …,positive
230,I ' just watched episode S06 | E04 of !,neutral
231,Want some fun bonus ? Then make sure to become a supporter ! We have 2 bonus coming soon . O …,positive
232,"that finale was a self - , head - scratching downer . It ’ s like they told supernatural to hold …",positive
233,I ' just watched episode S01 | E11 of !,neutral
234,"Thanks for the GREAT review ! ★★★★★ "" Honestly the way a Yuletide does to me . Beautiful dark green . I l …",positive
235,I ' just watched episode S01 | E10 of !,neutral
236,I ' just watched episode S01 | E09 of !,neutral
237,Ugh is pierce really just so he can die ?! unamused 3 . 19,negative
238,I ' just watched the episode S06 | E06 of !,neutral
239,"Lucitober2021 - Day 9 - Demon . "" What ? You interrupt a DEMON on her wedding night , you get what you get ."" ( :…",negative
240,I ' just watched episode S06 | E10 of !,neutral
241,Get my art printed on awesome . Support me at : …,positive
242,I ' just watched episode S06 | E08 of !,neutral
243,", you broke me . sobbroken heart He ' t want to let her go . weary SO many . Just look at his face . This …",negative
244,His astonishment that he actually accomplished it - that he ' s completely in tune with himself . pleading So of our f …,positive
245,gave me a full . Going back and listening to those like I left a world behind 🥲…,positive
246,Damn the last season of I cried many many times sob,negative
247,Not a word spoken and yet they know exactly what the other needs . They ' re just that in tune with each other . pleadingsmiling impheart…,neutral
248,Right back at you . And that goes to the whole - love you all so much . smiling face with three hearts praytwo heartssmiling imp,positive
249,Do you remember this episode of ? [ 6 . 12811 ] FOX,neutral
250,I ' just watched episode S06 | E09 of !,neutral
251,i took my religious trauma and made it sexy,positive
252,I ' just watched episode S06 | E04 of !,neutral
253,I ' just watched episode S01 | E08 of !,neutral
254,He ’ s watching me doing . He ’ s me .,neutral
255,Hulu ' s Critically Series Is Currently Number 1 on All …,positive
256,' s Critically Series Is Currently Number 1 on All Streaming Hulu …,positive
257,it was be my 666th post so decided would be the most appropriate for drawing . candleghost…,neutral
258,If and dont end up together getting hurt .,negative
259,Good night,positive
260,I ' m currently enjoying season 6 of and it was such a cool surprise to see and in …,positive
261,"“ And I would do anything for love , I ' d run right into hell and back I would do anything for love , I ' never lie …",positive
262,"☆""spider The Great open book spider web""☆ infinity HXH1999 HXH2011 …",positive
263,"I am thankful to too , so many new , it ' s amazing red heartred heartred heartred heartred heart",positive
264,God ! . citrus @ …,positive
265,S06 | E07,neutral
266,I ’ never to before .,neutral
267,SEASON 7 !!!!!! PLEASE PLEASE PLEASE !!!!!!!! !! Decker SEASON 7 !!!!!!,positive
268,HE ' S MAJESTIC AND YOU KNOW IT ! fireheart eyessmiling impheart eyesfire,neutral
269,"What Would Do ?, S03 | E04 , de !",neutral
270,I ' just watched episode S06 | E05 of !,neutral
271,"speaking , always a treat . heart",positive
272,I get it now . I can ’ t wait to see and the fam - new and old - back on screen . I have a very i …,neutral
273,I finished season 5 and i was NOT THAT AND THAT I CRIED,negative
274,"Something to me . The s6 ending the prophecy from s4 . "" When the devil the earth and fin …",negative
275,Here ' s your daily random dose of ! arrow right arrow right Multiverse,neutral
276,Why would you support ’ s offspring ? 666,positive
277,"I stay here given me many , friendship with some fandom people red heart",positive
278,"Yes , I have known it for a long time , and I think it a lot with the story of and as a whole .",positive
279,I ' just watched episode S06 | E04 of !,neutral
280,series finale devastating me 🥲,negative
281,"How have I never seen ? That man is an unholy aphrodisiac , skinny ass notwithstanding . Also , he a c …",negative
282,Whoa ! Me neither !!,neutral
283,I ' just watched episode S05 | E16 of !,neutral
284,I ' just watched episode S06 | E06 of !,neutral
285,’ s daughter is really cute . I like her a lot .,positive
286,"‘ ’ Reign on ’ s Streaming , ‘ ’ : is shaping up to be a banner …",neutral
287,exclamationexclamationexclamation WARNING exclamationexclamationexclamation Finally Mammon /,negative
288,Anyone else missing them immensely ? wearypleadingtwo hearts Forever the number one ship .,negative
289,I ' just watched episode S05 | E08 of !,neutral
290,"mentally , i am still at "" , my love """,positive
291,"There ' s no need to send him by his calling forcibly , it to be some reasonable series of e …",negative
292,I ' been y ’ all of : S06 | E09 of !,neutral
293,"You know I can feel in my , I ' m astonishingly by this phenomenal actor …",neutral
294,EVE IS BACK .,neutral
295,when 21 goes up I ’ start it . I give you my word,neutral
296,I ' just watched episode S06 | E04 of !,neutral
297,…,neutral
298,‘ It ’ s obvious that we want to be together so let ’ s just stop and be together ’. PLEASE !,positive
299,"If Maze & ; Eve don ’ t end up together after confessing they ’ re in love with each other , I ’ m be !",positive
300,'' My Best Fiend ' s Wedding '' is the best episode I ' seen in a while .,positive
301,Indeed . The main for ' s ending were either becoming immortal or becoming mortal a …,positive
302,We can imagine what we want and there are great . But that is not what …,positive
303,"There is a dead pigeon in that scene , . Snatched from . Think whatever you want about it .…",negative
304,Cleanse innocentblack heart luciferseason6,neutral
305,"THE HOLY TRINITY hotfirehot , suit and hair What else can we ask for ?!? ( Open for full view stuck out tongue winking eye) …",negative
306,"I still can ' t get over anything ! Still angry , still hurt , still 1 - 5 . Thank you for posting tho …",negative
307,"Today I my room . and very tired , my , and face were all red sob …",negative
308,I knew I this shirt from the moment I saw it .,neutral
309,You always so much in an hour . Now I want to enjoy for two in a row .,positive
310,Not a Dan centric episode sleeping,neutral
311,"I want , you too , a soulful film about .",positive
312,is a life ' s work . It ' t end so suddenly . is the answer .,neutral
313,Thanks a lot for this ! Can I borrow it for personal use ? * for a …,positive
314,we need a movie !!!,neutral
315,"I ' m watching 6x01 "" Nothing Ever Around Here """,neutral
316,Another bittersweet ending could have been that …,negative
317,just got hit by an ambulance . joy 3 . 16,positive
318,"As long as we are stuck in this reality , I ' m not leaving . And if I ' get back home , I ' send the D …",negative
319,I ' just watched episode S05 | E10 of !,neutral
320,Missing the Devil smiling impfire luciferseason6,negative
321,I love the when the whiskey glass in his hand . It cosiness . Also in smiling impsmiling face with three hearts…,positive
322,And if you watch you ' agree winksmiling imp,positive
323,8 / I ' m sorry . But . I really hoped that making Dan a purgatory would be expanded and …,positive
324,TOP 5 Demonic demon hell satan You may be to learn that the calendar that we ' b …,negative
325,7 / I don ' t like that Heaven and Hell itself is STILL broken . They ' t trying to fix the actual system . …,negative
326,6 / if you haven ' t read 1984 - the main character is miserable until he that Big Brother what ' s best f …,positive
327,Day 9 : Demon fire Queen of Hell & ; Earth lucitober2021 LuciferSeason6 luciferseason5 …,negative
328,I ' just watched episode S05 | E09 of !,neutral
329,Ow fix match wink call me joyjoyjoyjoy world cup time a fix ma own joyjoyjoy,neutral
330,"my one - into a newly made series over at AO3 , if you want to check it out :) First one is …",positive
331,Check out in an F - 16 Viper over 9 ! …,neutral
332,"I just watched 6x05 "" The Murder of """,negative
333,"Oh please ! You ' read my mind ! They , who were looking for a bittersweet ending ! That w …",positive
334,"A come on , KISS 3 . 15",positive
335,"I just watched 6x04 "" Pin the Tail on the Daddy """,neutral
336,"I just watched 6x03 "" Dabba Do Me """,neutral
337,This is one of the few for which we can proudly say “ the Devil made us do it . the that I develop …,negative
338,add & ; audio . For below dark …,neutral
339,In a few ... ! comic cartoon devil demon satan ink …,negative
340,No one ever can claim our ship ’ t feed us well !,negative
341,". Is me ? “ I do not ”, by sadness “ but you were my friend ”… well joywoman shrugging medium light skin tone 3 . 15",positive
342,at Men in Black 3 and found a parallel with . There is a time loop in the movie . But there the main …,neutral
343,"star was , and by , ’ strong reaction to her forensic scientist character …",positive
344,"finally , as I have said before : they break with those ​​ that made love : free will ,…",positive
345,I ' been y ’ all of : S06 | E08 of !,neutral
346,I ' just watched episode S06 | E06 of !,neutral
347,Sick . and,negative
348,I ' just watched episode S06 | E05 of !,neutral
349,I ' just watched ' ‘ Til the End ' : 9 . 50,neutral
350,"1 / Everyone had different they ' t like about how ended . That ' s fine , we are to have …",positive
351,They ’ re just too cute pleading 3 . 15,positive
352,drop to collection …,negative
353,I this ending . It made me cry a lot but it also made sense to me .,negative
354,I ' just watched episode S05 | E08 of !,neutral
355,you ... I AM SOBBING at this ending,negative
356,Well that ’ s it for . That was an amazing show .,positive
357,", dessa eu Is This Really How It ' s Going to End ?! de .",neutral
358,Yo I ' t know was part of the eyes,neutral
359,", believe me , that me even happier ! Because of you , I met so many incredible people here with such a big h …",positive
360,I ' just watched episode S06 | E10 of !,neutral
361,", I like Pierce now . He ’ s the grumpy neighbor dad of the millennia . laughing 3 . 13",positive
362,Simply “ ” camera flash my edit ...,neutral
363,I ' just watched episode S06 | E05 of !,neutral
364,I the animated in episode 3 of the sixth season . Need a movie ! …,neutral
365,New - AVAILABLE . . satan satanic …,neutral
366,[ Update ] rabbit on m . . 3 NOIR UP THE SKY …,neutral
367,Video about the painting : Wonderful Symbolist depiction of the Prince of Dar …,positive
368,[ Update ] chipmunk selector on NOIR UP THE SKY …,neutral
369,"I just watched 5x04 "" It Never Well for the Chicken """,negative
370,I ’ m sad it ’ s over but it me happy to see y ’ all still posting & ; the love ! Thank you blush smiling imp,positive
371,[ Update ] wolf on 95 . 2 . 8 NOIR UP THE SKY …,neutral
372,I ' just watched episode S06 | E10 of !,neutral
373,[ Update ] koala on 9shin xx3 ghost NOIR UP THE SKY …,negative
374,I ' just watched episode S06 | E07 of !,neutral
375,I ' just watched episode S06 | E05 of !,neutral
376,I ' just watched episode S06 | E04 of !,neutral
377,I ' just watched ' Dabba Do Me ' : 9 . 66,neutral
378,"I ' just watched ' , ' : 9 . 84",neutral
379,I ' just watched episode S06 | E02 : of Baggage of !,neutral
380,"to force him to leave them , in a very confused and emotional moment , not giving him the option to …",negative
381,⛧⛧ Rend the veil !⛧⛧🡆⛧ ILLUMINATI KEY OF MIGHT LIFE MASTERY RITUAL ⛧ illuminati occult …,neutral
382,Is ... the show basically ' s hell loop ?,negative
383,I ' just watched episode S06 | E09 of !,neutral
384,New - . . satan satanic …,neutral
385,Just watched a episode of S06 | E06 - A Lot Than That ( 9 . 76 )!,neutral
386,Let ’ s celebrate w / this picture of a certain during the promotion of,positive
387,"« Pain and suffering . Music to my . » Day 9 , Demon fire Lucitober2021",negative
388,apron suit,neutral
389,because of a vocation that was already more than half way from finding and …,neutral
390,We always knew that this series would not have an ending with . What we did …,neutral
391,Good afternoon purple heart Day 9 - Demon .. I haven ’ t had time to do a different drawing but made this a while a …,positive
392,Totally smitten by the of,neutral
393,Just watched a episode of S06 | E04 - Pin the Tail on the Daddy ( 9 . 84 )!,neutral
394,"I ' just watched ' Save the Devil , Save the World ' : 9 . 76",positive
395,smiling imp,positive
396,It ' s our great pleasure to introduce you to . by is the antagonist of the …,positive
397,"I just watched 6x02 "" of Baggage """,neutral
398,I don ' t want to be God .,positive
399,I ' been y ’ all of : S06 | E07 of !,neutral
400,If ' t offer what you truly desire - make it by your own . …,positive
401,Awe man so hurt .,negative
402,add & ; audio . For below dark …,neutral
403,day 9 ” Demon ” the whole freehand thing fell spectacularly with this one but that ’ s . Our resident …,positive
404,"to choose between becoming an angel or demon , to save the world or destroy it . However , she quickly …",negative
405,Just watched a wow episode of S06 | E03 - Dabba Do Me ( 9 . 66 )!,positive
406,Eve and Maze ' s wedding . I ' m a sobbing mess .,negative
407,add & ; audio . For below dark …,neutral
408,add & ; audio . For below dark …,neutral
409,add & ; audio . For below dark …,neutral
410,add & ; audio . For below dark …,neutral
411,add & ; audio . For below dark …,neutral
412,add & ; audio . For below dark …,neutral
413,add & ; audio . For below dark …,neutral
414,add & ; audio . For below dark …,neutral
415,add & ; audio . For below dark …,neutral
416,add & ; audio . For below dark …,neutral
417,add & ; audio . For below dark …,neutral
418,"1x02 . , Stay . Good Devil . “ You don ' t decide who and how .”",negative
419,add & ; audio . For below dark …,neutral
420,add & ; audio . For below dark …,neutral
421,add & ; audio . For below dark …,neutral
422,add & ; audio . For below dark …,neutral
423,add & ; audio . For below dark …,neutral
424,add & ; audio . For below dark …,neutral
425,add & ; audio . For below dark …,neutral
426,add & ; audio . For below dark …,neutral
427,add & ; audio . For below dark …,neutral
428,add & ; audio . For below dark …,neutral
429,add & ; audio . For below dark …,neutral
430,add & ; audio . For below dark …,neutral
431,add & ; audio . For below dark …,neutral
432,add & ; audio . For below dark …,neutral
433,add & ; audio . For below dark …,neutral
434,add & ; audio . For below dark …,neutral
435,add & ; audio . For below dark …,neutral
436,add & ; audio . For below dark …,neutral
437,add & ; audio . For below dark …,neutral
438,add & ; audio . For below dark …,neutral
439,editorial …,neutral
440,add & ; audio . For below dark …,neutral
441,add & ; audio . For below dark …,neutral
442,add & ; audio . For below dark …,neutral
443,add & ; audio . For below dark …,neutral
444,add & ; audio . For below dark …,neutral
445,add & ; audio . For below dark …,neutral
446,add & ; audio . For below dark …,neutral
447,"Right ?! it was amazing Also , wow what casting well done as always our",positive
448,Good afternoon heart smiling imp kissing heart wish y ' all a beautiful and weekend heart …,positive
449,Absolutely gorgeous !!!smiling impheartheartheartclapclapclapwoman bowing light skin tonewoman bowing light skin tonewoman bowing light skin tonewoman bowing light skin toneclapclapclapclapsmiling face with three heartssmiling face with three heartssmiling face with three heartssmiling face with three hearts heart inktober2021 …,positive
450,Today ' s lucitober2021 on pastel paper . 9 . ' Demon ' Alternate Universe from S3 ' Once Upon A Time …,neutral
